-- ================================================
-- 🔥 AIMBOT PRO v12 - FATALITY EDITION (FINAL)
-- ✅ All Features + New Crosshair System
-- ✅ Hexagon, Star, Square, Dot, Heart Crosshairs
-- ✅ Crosshair Size, Thickness, Opacity Controls
-- ✅ GUI Size Adjustment + Toggle Lock
-- ================================================

-- ========== SERVICES ==========
local Players = game:GetService("Players")
local RunService = game:GetService("RunService")
local UserInputService = game:GetService("UserInputService")
local TweenService = game:GetService("TweenService")
local Lighting = game:GetService("Lighting")
local HttpService = game:GetService("HttpService")
local CoreGui = game:GetService("CoreGui")
local Stats = game:GetService("Stats")

local LocalPlayer = Players.LocalPlayer
local Camera = workspace.CurrentCamera
local Mouse = LocalPlayer:GetMouse()

local function SafeSet(prop, value)
    ColorSequenceKeypoint.new(1, Color3.fromRGB(20, 10, 40))
}

local LockIcon = Instance.new("TextLabel")
LockIcon.Size = UDim2.new(0, 18, 0, 18)
LockIcon.Position = UDim2.new(1, -18, 0, 0)
LockIcon.BackgroundColor3 = Color3.fromRGB(255, 180, 50)
LockIcon.Text = "🔒"
LockIcon.TextColor3 = Color3.fromRGB(255, 255, 255)
LockIcon.TextSize = 10
LockIcon.Font = Enum.Font.GothamBold
LockIcon.BorderSizePixel = 0
LockIcon.Visible = false
LockIcon.ZIndex = 501
LockIcon.Parent = ToggleButton
Instance.new("UICorner", LockIcon).CornerRadius = UDim.new(1, 0)

-- ========== MAIN FRAME ==========
local BASE_WIDTH = 780
local BASE_HEIGHT = 510

local MainFrame = Instance.new("Frame")
MainFrame.Size = UDim2.new(0, BASE_WIDTH, 0, BASE_HEIGHT)
MainFrame.Position = UDim2.new(0.5, -BASE_WIDTH / 2, 0.5, -BASE_HEIGHT / 2)
MainFrame.BackgroundColor3 = Color3.fromRGB(12, 6, 25)
MainFrame.BorderSizePixel = 0
MainFrame.Visible = false
MainFrame.ZIndex = 10
MainFrame.Parent = ScreenGui
Instance.new("UICorner", MainFrame).CornerRadius = UDim.new(0, 18)

local MainStroke = Instance.new("UIStroke", MainFrame)
MainStroke.Color = Color3.fromRGB(180, 100, 255)
MainStroke.Thickness = 2.5
MainStroke.Transparency = 0.1

local MainGrad = Instance.new("UIGradient", MainFrame)
MainGrad.Color = ColorSequence.new{
    ColorSequenceKeypoint.new(0, Color3.fromRGB(40, 15, 80)),
    ColorSequenceKeypoint.new(0.5, Color3.fromRGB(12, 6, 25)),
    ColorSequenceKeypoint.new(1, Color3.fromRGB(30, 10, 60))
}
MainGrad.Rotation = 135

local GlowFrame = Instance.new("Frame")
GlowFrame.Size = UDim2.new(1, 20, 1, 20)
GlowFrame.Position = UDim2.new(0, -10, 0, -10)
GlowFrame.BackgroundTransparency = 1
GlowFrame.ZIndex = 9
GlowFrame.Parent = MainFrame
local glowStroke = Instance.new("UIStroke", GlowFrame)
glowStroke.Color = Color3.fromRGB(180, 100, 255)
glowStroke.Thickness = 8
glowStroke.Transparency = 0.85
Instance.new("UICorner", GlowFrame).CornerRadius = UDim.new(0, 22)

local InnerP = Instance.new("Frame")
InnerP.Size = UDim2.new(1, 0, 1, 0)
InnerP.BackgroundTransparency = 1
InnerP.ClipsDescendants = true
InnerP.ZIndex = 11
InnerP.Parent = MainFrame
Instance.new("UICorner", InnerP).CornerRadius = UDim.new(0, 18)

local InnerParticles = {}
for i = 1, 40 do
    local p = Instance.new("Frame")
    local sz = math.random(1, 3)
    p.Size = UDim2.new(0, sz, 0, sz)
    p.Position = UDim2.new(math.random(), 0, math.random(), 0)
    p.BackgroundColor3 = Color3.fromHSV(0.75 + math.random() * 0.15, 0.5, 1)
    p.BorderSizePixel = 0
    p.BackgroundTransparency = 0.2
    p.ZIndex = 12
    p.Parent = InnerP
    Instance.new("UICorner", p).CornerRadius = UDim.new(1, 0)
    table.insert(InnerParticles, {frame = p, vx = (math.random() - 0.5) * 0.06, vy = (math.random() - 0.5) * 0.06, hue = 0.75 + math.random() * 0.15})
end

-- ========== TITLE BAR ==========
local TitleBar = Instance.new("Frame")
TitleBar.Size = UDim2.new(1, 0, 0, 48)
TitleBar.BackgroundColor3 = Color3.fromRGB(20, 10, 45)
TitleBar.BackgroundTransparency = 0.1
TitleBar.BorderSizePixel = 0
TitleBar.ZIndex = 20
TitleBar.Parent = MainFrame
Instance.new("UICorner", TitleBar).CornerRadius = UDim.new(0, 18)

local TFix = Instance.new("Frame")
TFix.Size = UDim2.new(1, 0, 0.5, 0)
TFix.Position = UDim2.new(0, 0, 0.5, 0)
TFix.BackgroundColor3 = Color3.fromRGB(20, 10, 45)
TFix.BackgroundTransparency = 0.1
TFix.BorderSizePixel = 0
TFix.ZIndex = 20
TFix.Parent = TitleBar

local TitleLabel = Instance.new("TextLabel")
TitleLabel.Size = UDim2.new(0.5, 0, 1, 0)
TitleLabel.Position = UDim2.new(0, 20, 0, 0)
TitleLabel.BackgroundTransparency = 1
TitleLabel.Text = "✦ AIMBOT PRO"
TitleLabel.TextColor3 = Color3.fromRGB(255, 255, 255)
TitleLabel.TextSize = 17
TitleLabel.Font = Enum.Font.GothamBold
TitleLabel.TextXAlignment = Enum.TextXAlignment.Left
TitleLabel.ZIndex = 21
TitleLabel.Parent = TitleBar

local VerLabel = Instance.new("TextLabel")
VerLabel.Size = UDim2.new(0, 80, 0, 20)
VerLabel.Position = UDim2.new(0, 140, 0.5, -10)
VerLabel.BackgroundColor3 = Color3.fromRGB(120, 60, 220)
VerLabel.Text = "v12 FATALITY"
VerLabel.TextColor3 = Color3.fromRGB(255, 255, 255)
VerLabel.TextSize = 10
VerLabel.Font = Enum.Font.GothamBold
VerLabel.BorderSizePixel = 0
VerLabel.ZIndex = 21
VerLabel.Parent = TitleBar
Instance.new("UICorner", VerLabel).CornerRadius = UDim.new(0, 7)

local HeartLabel = Instance.new("TextLabel")
HeartLabel.Size = UDim2.new(0, 32, 0, 32)
HeartLabel.Position = UDim2.new(0.5, -16, 0, 8)
HeartLabel.BackgroundTransparency = 1
HeartLabel.Text = "❤"
HeartLabel.TextColor3 = Color3.fromRGB(255, 80, 180)
HeartLabel.TextSize = 24
HeartLabel.Font = Enum.Font.GothamBold
HeartLabel.ZIndex = 21
HeartLabel.Parent = TitleBar

local CloseButton = Instance.new("TextButton")
CloseButton.Size = UDim2.new(0, 32, 0, 32)
CloseButton.Position = UDim2.new(1, -42, 0, 8)
CloseButton.BackgroundColor3 = Color3.fromRGB(210, 40, 40)
CloseButton.Text = "✕"
CloseButton.TextColor3 = Color3.fromRGB(255, 255, 255)
CloseButton.TextSize = 15
CloseButton.Font = Enum.Font.GothamBold
CloseButton.BorderSizePixel = 0
CloseButton.ZIndex = 22
CloseButton.Parent = TitleBar
Instance.new("UICorner", CloseButton).CornerRadius = UDim.new(1, 0)

-- ========== TABS ==========
local Tabs = {"Aimbot", "Crosshair", "Anti-Aim", "ESP", "Visuals", "World", "Weather", "Movement", "Extra", "Inventory", "Indicator", "Colors", "Settings"}
local TabIcons = {"🎯", "✛", "🔄", "👁", "✨", "🌍", "⛅", "🏃", "🛠", "🎒", "📊", "🎨", "⚙"}

local TabBar = Instance.new("ScrollingFrame")
TabBar.Size = UDim2.new(0, 155, 1, -62)
TabBar.Position = UDim2.new(0, 10, 0, 54)
TabBar.BackgroundColor3 = Color3.fromRGB(18, 10, 35)
TabBar.BackgroundTransparency = 0.15
TabBar.BorderSizePixel = 0
TabBar.ScrollBarThickness = 3
TabBar.ScrollBarImageColor3 = Color3.fromRGB(180, 100, 255)
TabBar.CanvasSize = UDim2.new(0, 0, 0, #Tabs * 44 + 10)
TabBar.ZIndex = 20
TabBar.Parent = MainFrame
Instance.new("UICorner", TabBar).CornerRadius = UDim.new(0, 12)

local ContentArea = Instance.new("Frame")
ContentArea.Size = UDim2.new(1, -175, 1, -62)
ContentArea.Position = UDim2.new(0, 173, 0, 54)
ContentArea.BackgroundColor3 = Color3.fromRGB(18, 10, 35)
ContentArea.BackgroundTransparency = 0.15
ContentArea.BorderSizePixel = 0
ContentArea.ZIndex = 20
ContentArea.Parent = MainFrame
Instance.new("UICorner", ContentArea).CornerRadius = UDim.new(0, 12)

local TabButtons = {}
local TabPages = {}
for i, tabName in ipairs(Tabs) do
    local btn = Instance.new("TextButton")
    btn.Size = UDim2.new(1, -14, 0, 38)
    btn.Position = UDim2.new(0, 7, 0, 5 + (i - 1) * 42)
    btn.BackgroundColor3 = Color3.fromRGB(25, 15, 50)
    btn.Text = "  " .. TabIcons[i] .. "  " .. tabName
    btn.TextColor3 = Color3.fromRGB(180, 180, 220)
    btn.TextSize = 12
    btn.Font = Enum.Font.GothamBold
    btn.TextXAlignment = Enum.TextXAlignment.Left
    btn.BorderSizePixel = 0
    btn.ZIndex = 21
    btn.Parent = TabBar
    Instance.new("UICorner", btn).CornerRadius = UDim.new(0, 9)
    TabButtons[i] = btn

    local page = Instance.new("ScrollingFrame")
    page.Size = UDim2.new(1, -14, 1, -14)
    page.Position = UDim2.new(0, 7, 0, 7)
    page.BackgroundTransparency = 1
    page.BorderSizePixel = 0
    page.ScrollBarThickness = 4
    page.ScrollBarImageColor3 = Color3.fromRGB(180, 100, 255)
    page.CanvasSize = UDim2.new(0, 0, 0, 800)
    page.Visible = false
    page.ZIndex = 21
    page.Parent = ContentArea
    TabPages[i] = page

    btn.MouseButton1Click:Connect(function()
        for j, b in ipairs(TabButtons) do
            TweenService:Create(b, TweenInfo.new(0.15), {
                BackgroundColor3 = Color3.fromRGB(25, 15, 50),
                TextColor3 = Color3.fromRGB(180, 180, 220)
            }):Play()
            TabPages[j].Visible = false
        end
        TweenService:Create(btn, TweenInfo.new(0.15), {
            BackgroundColor3 = Color3.fromRGB(130, 70, 230),
            TextColor3 = Color3.fromRGB(255, 255, 255)
        }):Play()
        page.Visible = true
    end)
end
TabButtons[1].BackgroundColor3 = Color3.fromRGB(130, 70, 230)
TabButtons[1].TextColor3 = Color3.fromRGB(255, 255, 255)
TabPages[1].Visible = true

-- ========== UI HELPERS ==========
local function CreateSection(parent, text, y)
    local s = Instance.new("Frame")
    s.Size = UDim2.new(1, -10, 0, 26)
    s.Position = UDim2.new(0, 5, 0, y)
    s.BackgroundColor3 = Color3.fromRGB(40, 20, 75)
    s.BorderSizePixel = 0
    s.ZIndex = 21
    s.Parent = parent
    Instance.new("UICorner", s).CornerRadius = UDim.new(0, 6)
    local sg = Instance.new("UIGradient", s)
    sg.Color = ColorSequence.new{
        ColorSequenceKeypoint.new(0, Color3.fromRGB(60, 30, 110)),
        ColorSequenceKeypoint.new(1, Color3.fromRGB(30, 15, 60))
    }
    local lbl = Instance.new("TextLabel")
    lbl.Size = UDim2.new(1, -20, 1, 0)
    lbl.Position = UDim2.new(0, 12, 0, 0)
    lbl.BackgroundTransparency = 1
    lbl.Text = text
    lbl.TextColor3 = Color3.fromRGB(220, 180, 255)
    lbl.TextSize = 12
    lbl.Font = Enum.Font.GothamBold
    lbl.TextXAlignment = Enum.TextXAlignment.Left
    lbl.ZIndex = 22
    lbl.Parent = s
end

local function CreateLabel(parent, text, x, y, w, h, size, color)
    local l = Instance.new("TextLabel")
    l.Size = UDim2.new(0, w, 0, h)
    l.Position = UDim2.new(0, x, 0, y)
    l.BackgroundTransparency = 1
    l.Text = text
    l.TextColor3 = color or Color3.fromRGB(200, 200, 220)
    l.TextSize = size or 12
    l.Font = Enum.Font.Gotham
    l.TextXAlignment = Enum.TextXAlignment.Left
    l.ZIndex = 22
    l.Parent = parent
    return l
end

local function CreateToggle(parent, text, y, default, callback)
    local f = Instance.new("Frame")
    f.Size = UDim2.new(1, -10, 0, 30)
    f.Position = UDim2.new(0, 5, 0, y)
    f.BackgroundTransparency = 1
    f.ZIndex = 21
    f.Parent = parent
    CreateLabel(f, text, 5, 6, 300, 18)
    local btn = Instance.new("TextButton")
    btn.Size = UDim2.new(0, 48, 0, 22)
    btn.Position = UDim2.new(1, -52, 0, 4)
    btn.BackgroundColor3 = default and Color3.fromRGB(80, 200, 120) or Color3.fromRGB(60, 40, 90)
    btn.Text = default and "ON" or "OFF"
    btn.TextColor3 = Color3.fromRGB(255, 255, 255)
    btn.TextSize = 10
    btn.Font = Enum.Font.GothamBold
    btn.BorderSizePixel = 0
    btn.ZIndex = 22
    btn.Parent = f
    Instance.new("UICorner", btn).CornerRadius = UDim.new(1, 0)
    local s = default
    btn.MouseButton1Click:Connect(function()
        s = not s
        TweenService:Create(btn, TweenInfo.new(0.15), {
            BackgroundColor3 = s and Color3.fromRGB(80, 200, 120) or Color3.fromRGB(60, 40, 90)
        }):Play()
        btn.Text = s and "ON" or "OFF"
        callback(s)
    end)
    return btn
end

local function CreateSlider(parent, text, y, min, max, default, callback)
    local f = Instance.new("Frame")
    f.Size = UDim2.new(1, -10, 0, 46)
    f.Position = UDim2.new(0, 5, 0, y)
    f.BackgroundTransparency = 1
    f.ZIndex = 21
    f.Parent = parent
    CreateLabel(f, text, 5, 0, 300, 18)
    local vL = Instance.new("TextLabel")
    vL.Size = UDim2.new(0, 60, 0, 18)
    vL.Position = UDim2.new(1, -65, 0, 0)
    vL.BackgroundTransparency = 1
    vL.Text = tostring(default)
    vL.TextColor3 = Color3.fromRGB(220, 180, 255)
    vL.TextSize = 12
    vL.Font = Enum.Font.GothamBold
    vL.TextXAlignment = Enum.TextXAlignment.Right
    vL.ZIndex = 22
    vL.Parent = f
    local tr = Instance.new("Frame")
    tr.Size = UDim2.new(1, -10, 0, 7)
    tr.Position = UDim2.new(0, 5, 0, 27)
    tr.BackgroundColor3 = Color3.fromRGB(40, 25, 65)
    tr.BorderSizePixel = 0
    tr.ZIndex = 22
    tr.Parent = f
    Instance.new("UICorner", tr).CornerRadius = UDim.new(1, 0)
    local fl = Instance.new("Frame")
    fl.Size = UDim2.new((default - min) / (max - min), 0, 1, 0)
    fl.BackgroundColor3 = Color3.fromRGB(180, 100, 255)
    fl.BorderSizePixel = 0
    fl.ZIndex = 23
    fl.Parent = tr
    Instance.new("UICorner", fl).CornerRadius = UDim.new(1, 0)
    local kn = Instance.new("Frame")
    kn.Size = UDim2.new(0, 14, 0, 14)
    kn.Position = UDim2.new((default - min) / (max - min), -7, 0.5, -7)
    kn.BackgroundColor3 = Color3.fromRGB(255, 255, 255)
    kn.BorderSizePixel = 0
    kn.ZIndex = 24
    kn.Parent = tr
    Instance.new("UICorner", kn).CornerRadius = UDim.new(1, 0)
    local ks = Instance.new("UIStroke", kn)
    ks.Color = Color3.fromRGB(180, 100, 255)
    ks.Thickness = 2
    local dr = false
    local function upd(x)
        local r = math.clamp((x - tr.AbsolutePosition.X) / tr.AbsoluteSize.X, 0, 1)
        local val = math.floor(min + (max - min) * r)
        fl.Size = UDim2.new(r, 0, 1, 0)
        kn.Position = UDim2.new(r, -7, 0.5, -7)
        vL.Text = tostring(val)
        callback(val)
    end
    tr.InputBegan:Connect(function(i)
        if i.UserInputType == Enum.UserInputType.MouseButton1 or i.UserInputType == Enum.UserInputType.Touch then
            dr = true
            upd(i.Position.X)
        end
    end)
    UserInputService.InputChanged:Connect(function(i)
        if dr and (i.UserInputType == Enum.UserInputType.MouseMovement or i.UserInputType == Enum.UserInputType.Touch) then
            upd(i.Position.X)
        end
    end)
    UserInputService.InputEnded:Connect(function(i)
        if i.UserInputType == Enum.UserInputType.MouseButton1 or i.UserInputType == Enum.UserInputType.Touch then dr = false end
    end)
end

local function CreateDropdown(parent, text, y, options, default, callback)
    local f = Instance.new("Frame")
    f.Size = UDim2.new(1, -10, 0, 30)
    f.Position = UDim2.new(0, 5, 0, y)
    f.BackgroundTransparency = 1
    f.ZIndex = 21
    f.Parent = parent
    CreateLabel(f, text, 5, 6, 200, 18)
    local idx = 1
    for i, o in ipairs(options) do if o == default then idx = i end end
    local btn = Instance.new("TextButton")
    btn.Size = UDim2.new(0, 140, 0, 24)
    btn.Position = UDim2.new(1, -145, 0, 3)
    btn.BackgroundColor3 = Color3.fromRGB(55, 30, 100)
    btn.Text = "▼ " .. options[idx]
    btn.TextColor3 = Color3.fromRGB(255, 255, 255)
    btn.TextSize = 11
    btn.Font = Enum.Font.GothamBold
    btn.BorderSizePixel = 0
    btn.ZIndex = 22
    btn.Parent = f
    Instance.new("UICorner", btn).CornerRadius = UDim.new(0, 6)
    btn.MouseButton1Click:Connect(function()
        idx = idx + 1
        if idx > #options then idx = 1 end
        btn.Text = "▼ " .. options[idx]
        callback(options[idx])
    end)
end

local ActivePicker = nil

local function CreateColorPicker(parent, text, y, default, callback)
    local f = Instance.new("Frame")
    f.Size = UDim2.new(1, -10, 0, 30)
    f.Position = UDim2.new(0, 5, 0, y)
    f.BackgroundTransparency = 1
    f.ZIndex = 21
    f.Parent = parent
    CreateLabel(f, text, 5, 6, 200, 18)
    local prv = Instance.new("TextButton")
    prv.Size = UDim2.new(0, 60, 0, 22)
    prv.Position = UDim2.new(1, -65, 0, 4)
    prv.BackgroundColor3 = C3(default)
    prv.Text = ""
    prv.BorderSizePixel = 0
    prv.ZIndex = 22
    prv.Parent = f
    Instance.new("UICorner", prv).CornerRadius = UDim.new(0, 5)
    local ps = Instance.new("UIStroke", prv)
    ps.Color = Color3.fromRGB(255, 255, 255)
    ps.Thickness = 1
    local cur = {default[1], default[2], default[3]}

    prv.MouseButton1Click:Connect(function()
        if ActivePicker then ActivePicker:Destroy() end
        local pk = Instance.new("Frame")
        pk.Size = UDim2.new(0, 270, 0, 310)
        pk.Position = UDim2.new(0.5, -135, 0.5, -155)
        pk.BackgroundColor3 = Color3.fromRGB(18, 12, 35)
        pk.BorderSizePixel = 0
        pk.ZIndex = 800
        pk.Parent = ScreenGui
        Instance.new("UICorner", pk).CornerRadius = UDim.new(0, 12)
        local pkS = Instance.new("UIStroke", pk)
        pkS.Color = Color3.fromRGB(180, 100, 255)
        pkS.Thickness = 2
        local pkG = Instance.new("UIGradient", pk)
        pkG.Color = ColorSequence.new{
            ColorSequenceKeypoint.new(0, Color3.fromRGB(35, 18, 65)),
            ColorSequenceKeypoint.new(1, Color3.fromRGB(15, 8, 30))
        }
        pkG.Rotation = 135
        ActivePicker = pk

        local tt = Instance.new("TextLabel")
        tt.Size = UDim2.new(1, -40, 0, 28)
        tt.Position = UDim2.new(0, 12, 0, 8)
        tt.BackgroundTransparency = 1
        tt.Text = "🎨 " .. text
        tt.TextColor3 = Color3.fromRGB(255, 255, 255)
        tt.TextSize = 14
        tt.Font = Enum.Font.GothamBold
        tt.TextXAlignment = Enum.TextXAlignment.Left
        tt.ZIndex = 801
        tt.Parent = pk
        local cb = Instance.new("TextButton")
        cb.Size = UDim2.new(0, 24, 0, 24)
        cb.Position = UDim2.new(1, -30, 0, 10)
        cb.BackgroundColor3 = Color3.fromRGB(200, 50, 50)
        cb.Text = "✕"
        cb.TextColor3 = Color3.fromRGB(255, 255, 255)
        cb.TextSize = 12
        cb.Font = Enum.Font.GothamBold
        cb.BorderSizePixel = 0
        cb.ZIndex = 802
        cb.Parent = pk
        Instance.new("UICorner", cb).CornerRadius = UDim.new(1, 0)
        local pv2 = Instance.new("Frame")
        pv2.Size = UDim2.new(1, -24, 0, 34)
        pv2.Position = UDim2.new(0, 12, 0, 44)
        pv2.BackgroundColor3 = C3(cur)
        pv2.BorderSizePixel = 0
        pv2.ZIndex = 801
        pv2.Parent = pk
        Instance.new("UICorner", pv2).CornerRadius = UDim.new(0, 6)

        local function mk(nm, yy, col, dv, cbk)
            local lb = Instance.new("TextLabel")
            lb.Size = UDim2.new(0, 20, 0, 20)
            lb.Position = UDim2.new(0, 12, 0, yy)
            lb.BackgroundTransparency = 1
            lb.Text = nm
            lb.TextColor3 = col
            lb.TextSize = 13
            lb.Font = Enum.Font.GothamBold
            lb.ZIndex = 801
            lb.Parent = pk
            local vv = Instance.new("TextLabel")
            vv.Size = UDim2.new(0, 40, 0, 20)
            vv.Position = UDim2.new(1, -52, 0, yy)
            vv.BackgroundTransparency = 1
            vv.Text = tostring(dv)
            vv.TextColor3 = Color3.fromRGB(255, 255, 255)
            vv.TextSize = 12
            vv.Font = Enum.Font.GothamBold
            vv.ZIndex = 801
            vv.Parent = pk
            local sliderTrack = Instance.new("Frame")
            sliderTrack.Size = UDim2.new(1, -92, 0, 8)
            sliderTrack.Position = UDim2.new(0, 38, 0, yy + 6)
            sliderTrack.BackgroundColor3 = Color3.fromRGB(35, 25, 55)
            sliderTrack.BorderSizePixel = 0
            sliderTrack.ZIndex = 801
            sliderTrack.Parent = pk
            Instance.new("UICorner", sliderTrack).CornerRadius = UDim.new(1, 0)
            local sliderFill = Instance.new("Frame")
            sliderFill.Size = UDim2.new(dv / 255, 0, 1, 0)
            sliderFill.BackgroundColor3 = col
            sliderFill.BorderSizePixel = 0
            sliderFill.ZIndex = 802
            sliderFill.Parent = sliderTrack
            Instance.new("UICorner", sliderFill).CornerRadius = UDim.new(1, 0)
            local dragging = false
            local function update(x)
                local r = math.clamp((x - sliderTrack.AbsolutePosition.X) / sliderTrack.AbsoluteSize.X, 0, 1)
                local vl = math.floor(r * 255)
                sliderFill.Size = UDim2.new(r, 0, 1, 0)
                vv.Text = tostring(vl)
                cbk(vl)
            end
            sliderTrack.InputBegan:Connect(function(i)
                if i.UserInputType == Enum.UserInputType.MouseButton1 or i.UserInputType == Enum.UserInputType.Touch then
                    dragging = true
                    update(i.Position.X)
                end
            end)
            UserInputService.InputChanged:Connect(function(i)
                if dragging and (i.UserInputType == Enum.UserInputType.MouseMovement or i.UserInputType == Enum.UserInputType.Touch) then
                    update(i.Position.X)
                end
            end)
            UserInputService.InputEnded:Connect(function(i)
                if i.UserInputType == Enum.UserInputType.MouseButton1 or i.UserInputType == Enum.UserInputType.Touch then dragging = false end
            end)
        end
        mk("R", 92, Color3.fromRGB(255, 70, 70), cur[1], function(v) cur[1] = v; pv2.BackgroundColor3 = C3(cur); prv.BackgroundColor3 = C3(cur); callback(cur) end)
        mk("G", 127, Color3.fromRGB(70, 255, 70), cur[2], function(v) cur[2] = v; pv2.BackgroundColor3 = C3(cur); prv.BackgroundColor3 = C3(cur); callback(cur) end)
        mk("B", 162, Color3.fromRGB(70, 150, 255), cur[3], function(v) cur[3] = v; pv2.BackgroundColor3 = C3(cur); prv.BackgroundColor3 = C3(cur); callback(cur) end)

        local presets = {{255, 255, 255}, {0, 0, 0}, {255, 0, 0}, {0, 255, 0}, {0, 0, 255}, {255, 255, 0}, {255, 0, 255}, {0, 255, 255}, {255, 128, 0}, {180, 100, 255}}
        CreateLabel(pk, "Presets:", 12, 200, 100, 16, 11, Color3.fromRGB(220, 180, 255))
        for i, col in ipairs(presets) do
            local x = 12 + ((i - 1) % 5) * 50
            local yy = 220 + math.floor((i - 1) / 5) * 34
            local pb = Instance.new("TextButton")
            pb.Size = UDim2.new(0, 46, 0, 28)
            pb.Position = UDim2.new(0, x, 0, yy)
            pb.BackgroundColor3 = C3(col)
            pb.Text = ""
            pb.BorderSizePixel = 0
            pb.ZIndex = 802
            pb.Parent = pk
            Instance.new("UICorner", pb).CornerRadius = UDim.new(0, 5)
            pb.MouseButton1Click:Connect(function()
                cur = {col[1], col[2], col[3]}
                pv2.BackgroundColor3 = C3(cur)
                prv.BackgroundColor3 = C3(cur)
                callback(cur)
            end)
        end
        cb.MouseButton1Click:Connect(function()
            pk:Destroy()
            if ActivePicker == pk then ActivePicker = nil end
        end)
        local pkDrag, pkDragStart, pkStartPos = false, nil, nil
        tt.InputBegan:Connect(function(i)
            if i.UserInputType == Enum.UserInputType.MouseButton1 or i.UserInputType == Enum.UserInputType.Touch then
                pkDrag = true
                pkDragStart = i.Position
                pkStartPos = pk.Position
            end
        end)
        UserInputService.InputChanged:Connect(function(i)
            if pkDrag and (i.UserInputType == Enum.UserInputType.MouseMovement or i.UserInputType == Enum.UserInputType.Touch) then
                local d = i.Position - pkDragStart
                pk.Position = UDim2.new(pkStartPos.X.Scale, pkStartPos.X.Offset + d.X, pkStartPos.Y.Scale, pkStartPos.Y.Offset + d.Y)
            end
        end)
        UserInputService.InputEnded:Connect(function(i)
            if i.UserInputType == Enum.UserInputType.MouseButton1 or i.UserInputType == Enum.UserInputType.Touch then pkDrag = false end
        end)
    end)
end

local function CreateButton(parent, text, y, callback)
    local btn = Instance.new("TextButton")
    btn.Size = UDim2.new(1, -10, 0, 32)
    btn.Position = UDim2.new(0, 5, 0, y)
    btn.BackgroundColor3 = Color3.fromRGB(110, 60, 220)
    btn.Text = text
    btn.TextColor3 = Color3.fromRGB(255, 255, 255)
    btn.TextSize = 12
    btn.Font = Enum.Font.GothamBold
    btn.BorderSizePixel = 0
    btn.ZIndex = 21
    btn.Parent = parent
    Instance.new("UICorner", btn).CornerRadius = UDim.new(0, 8)
    btn.MouseButton1Click:Connect(function()
        TweenService:Create(btn, TweenInfo.new(0.1), {BackgroundColor3 = Color3.fromRGB(150, 90, 255)}):Play()
        task.wait(0.1)
        TweenService:Create(btn, TweenInfo.new(0.1), {BackgroundColor3 = Color3.fromRGB(110, 60, 220)}):Play()
        callback()
    end)
end

local function Notify(text)
    local n = Instance.new("Frame")
    n.Size = UDim2.new(0, 280, 0, 44)
    n.Position = UDim2.new(0.5, -140, 1, 15)
    n.BackgroundColor3 = Color3.fromRGB(25, 15, 50)
    n.BorderSizePixel = 0
    n.ZIndex = 900
    n.Parent = ScreenGui
    Instance.new("UICorner", n).CornerRadius = UDim.new(0, 10)
    local ns = Instance.new("UIStroke", n)
    ns.Color = Color3.fromRGB(180, 100, 255)
    ns.Thickness = 2
    local ng = Instance.new("UIGradient", n)
    ng.Color = ColorSequence.new{
        ColorSequenceKeypoint.new(0, Color3.fromRGB(50, 25, 100)),
        ColorSequenceKeypoint.new(1, Color3.fromRGB(20, 12, 40))
    }
    local lbl = Instance.new("TextLabel")
    lbl.Size = UDim2.new(1, 0, 1, 0)
    lbl.BackgroundTransparency = 1
    lbl.Text = text
    lbl.TextColor3 = Color3.fromRGB(255, 255, 255)
    lbl.TextSize = 12
    lbl.Font = Enum.Font.GothamBold
    lbl.ZIndex = 901
    lbl.Parent = n
    TweenService:Create(n, TweenInfo.new(0.3, Enum.EasingStyle.Back), {Position = UDim2.new(0.5, -140, 1, -65)}):Play()
    task.delay(2.2, function()
        TweenService:Create(n, TweenInfo.new(0.3), {Position = UDim2.new(0.5, -140, 1, 15), BackgroundTransparency = 1}):Play()
        task.delay(0.35, function() n:Destroy() end)
    end)
end

-- ========== RADAR ==========
local RadarFrame = Instance.new("Frame")
RadarFrame.Size = UDim2.new(0, Settings.RadarSize, 0, Settings.RadarSize)
RadarFrame.Position = UDim2.new(1, -Settings.RadarSize - 20, 0, 20)
RadarFrame.BackgroundColor3 = Color3.fromRGB(15, 8, 30)
RadarFrame.BackgroundTransparency = 0.3
RadarFrame.BorderSizePixel = 0
RadarFrame.Visible = false
RadarFrame.ZIndex = 100
RadarFrame.Parent = ScreenGui
Instance.new("UICorner", RadarFrame).CornerRadius = UDim.new(1, 0)
local RadarStroke = Instance.new("UIStroke", RadarFrame)
RadarStroke.Color = Color3.fromRGB(180, 100, 255)
RadarStroke.Thickness = 2

local RadarCross1 = Instance.new("Frame")
RadarCross1.Size = UDim2.new(1, 0, 0, 1)
RadarCross1.Position = UDim2.new(0, 0, 0.5, 0)
RadarCross1.BackgroundColor3 = Color3.fromRGB(180, 100, 255)
RadarCross1.BackgroundTransparency = 0.5
RadarCross1.BorderSizePixel = 0
RadarCross1.ZIndex = 101
RadarCross1.Parent = RadarFrame
local RadarCross2 = Instance.new("Frame")
RadarCross2.Size = UDim2.new(0, 1, 1, 0)
RadarCross2.Position = UDim2.new(0.5, 0, 0, 0)
RadarCross2.BackgroundColor3 = Color3.fromRGB(180, 100, 255)
RadarCross2.BackgroundTransparency = 0.5
